Portfolio Name: pimple
Ticker Symbol: , Shares: 0.0
Ticker Symbol: AAPL, Shares: 1.0, Date: 2024-05-15, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 2.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: AAPL, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: AAPL, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: AAPL, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: AAPL, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: AAPL, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: AAPL, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: AAPL, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: AAPL, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: AAPL, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: AAPL, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: BUY
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
Ticker Symbol: NVDA, Shares: 3.0, Date: 2024-05-31, Buy or Sell: SELL
